
🇨🇳｜分享央视,#genre#
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合[1920x1080],http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV-1综合[1920x1080],http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1综合[1920x1080],http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1综合[1920x1080],http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1综合[1920x1080],http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV-1综合[1920x1080],http://183.196.25.171:808/hls/1/index.m3u8
CCTV-1综合[1920x1080],http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1 综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11481-3.m3u8
CCTV1 综合,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV1 综合,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV1 综合,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV1 综合,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
CCTV1 综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226638/1.m3u8
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV1 综合,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
